Date,Channel,SKU,Vendor,Wheel,Size,Bolt Pattern,Finish,Price,ID,Monthly Total,Monthly Sets,,
3/12/2025,Shopify,V-RacingTE37SL-189.5+38-5120-SLV,Volk,Volk Racing TE37SL,18x9.5 +38,5x120,Diamond Silver,"$4,191.40",Volk Racing TE37SL18x9.5 +385x120Diamond Silver,,,,
3/12/2025,Shopify,"B-FIREvo-209.5+44,2112+45-CL-SLV",BBS,BBS FI-R Evo,"20x9.5 +44, 21x12 +45",CL,Diamond Silver,"$8,211.00","BBS FI-R Evo20x9.5 +44, 21x12 +45CLDiamond Silver",,,,
3/11/2025,Shopify,D-RegamasterEVOII-1810+50-5120-GW,Desmond,Desmond Regamaster EVO II,18x10 +50,5x120,Gloss White,"$3,100.00",Desmond Regamaster EVO II18x10 +505x120Gloss White,,,,
3/11/2025,Shopify,GL-57CR-189.5+38-51143-CP,Gram Lights,Gram Lights 57CR,18x9.5 +38,5x114.3,Chrome Plating,$646.75,Gram Lights 57CR18x9.5 +385x114.3Chrome Plating,,,,
3/11/2025,Shopify,V-RacingTE37SL-189.5+38-5120-DB,Volk,Volk Racing TE37SL,18x9.5 +38,5x120,Diamond Black,"$3,296.00",Volk Racing TE37SL18x9.5 +385x120Diamond Black,,,,
3/11/2025,eBay,GL-57CR-189.5+22-51143-GB,Gram Lights,Gram Lights 57CR,18x9.5 +22,5x114.3,Glossy Black,"$1,850.00",Gram Lights 57CR18x9.5 +225x114.3Glossy Black,,,,
3/10/2025,Shopify,V-RacingTE37SagaSPlus-189.5+38-51143-B,Volk,Volk Racing TE37 Saga S-Plus,18x9.5 +38,5x114.3,Black,"$3,500.00",Volk Racing TE37 Saga S-Plus18x9.5 +385x114.3Black,,,,
3/10/2025,Shopify,GL-57DR-189.5+22-51143-CP,Gram Lights,Gram Lights 57DR,18x9.5 +22,5x114.3,Chrome Plating,"$1,294.00",Gram Lights 57DR18x9.5 +225x114.3Chrome Plating,,,,
3/10/2025,Shopify,GL-57CR-179+22-51143-CP,Gram Lights,Gram Lights 57CR,17x9 +22,5x114.3,Chrome Plating,"$1,187.00",Gram Lights 57CR17x9 +225x114.3Chrome Plating,,,,
3/10/2025,Shopify,D-RegamasterEVOII-1810+35-51143-GW,Desmond,Desmond Regamaster EVO II,18x10 +35,5x114.3,Gloss White,"$3,000.00",Desmond Regamaster EVO II18x10 +355x114.3Gloss White,,,,
3/10/2025,Shopify,M-MF10-189.5+45-51143-BR,Mugen,Mugen MF10,18x9.5 +45,5x114.3,Bronze,"$3,300.00",Mugen MF1018x9.5 +455x114.3Bronze,,,,
3/10/2025,Shopify,D-RegamasterEVOII-189.5+45-5120-GW,Desmond,Desmond Regamaster EVO II,18x9.5 +45,5x120,Gloss White,"$3,000.00",Desmond Regamaster EVO II18x9.5 +455x120Gloss White,,,,
3/10/2025,eBay,"B-FIR-209+48,2011.5+60-5130-SLV",BBS,BBS FI-R,"20x9 +48, 20x11.5 +60",5x130,Diamond Silver,"$7,300.00","BBS FI-R20x9 +48, 20x11.5 +605x130Diamond Silver",,,,
3/8/2025,eBay,E-RPF1-178+35-51143-SS,Enkei,Enkei RPF1,17x8 +35,5x114.3,F1 Silver,"$1,035.40",Enkei RPF117x8 +355x114.3F1 Silver,,,,
3/8/2025,eBay,E-RPF1-179+35-51143-SS,Enkei,Enkei RPF1,17x9 +35,5x114.3,F1 Silver,$273.97,Enkei RPF117x9 +355x114.3F1 Silver,,,,
3/7/2025,eBay,E-RPF1-158+35-4100-S,Enkei,Enkei RPF1,15x8 +35,4x100,SBC,"$1,261.36",Enkei RPF115x8 +354x100SBC,,,,
3/7/2025,eBay,E-RPF1-177+43-4100-SS,Enkei,Enkei RPF1,17x7 +43,4x100,F1 Silver,$490.76,Enkei RPF117x7 +434x100F1 Silver,,,,
3/6/2025,Shopify,GL-57DR-189.5+38-51143-BR2,Gram Lights,Gram Lights 57DR,18x9.5 +38,5x114.3,Bronze 2,"$1,730.60",Gram Lights 57DR18x9.5 +385x114.3Bronze 2,,,,
3/6/2025,Shopify,B-LM-178.5+18-5120-SLV,BBS,BBS LM,17x8.5 +18,5x120,Diamond Silver,"$3,000.00",BBS LM17x8.5 +185x120Diamond Silver,,,,
3/6/2025,eBay,E-RPF1-189+35-51143-SS,Enkei,Enkei RPF1,18x9 +35,5x114.3,F1 Silver,$700.10,Enkei RPF118x9 +355x114.3F1 Silver,,,,
